,Drug Type,Sex,with/without?,Opioid Type,Deaths,Death Rate,Year,Population Type
418,Cocaine,Female,with,any,574.0,1.1,2009,Overall
419,Cocaine,Male,with,any,1636.0,0.7,2009,Overall
420,Cocaine,Female,with,synthetic,61.0,0.1,2009,Overall
421,Cocaine,Male,with,synthetic,115.0,1.4,2009,Overall
422,Psychostimulants,Female,overall,overall,489.0,0.8,2009,Overall
423,Psychostimulants,Male,overall,overall,1143.0,0.2,2009,Overall
424,Psychostimulants,Female,with,any,207.0,0.3,2009,Overall
425,Psychostimulants,Male,with,any,447.0,0.3,2009,Overall
426,Psychostimulants,Female,with,synthetic,25.0,,2009,Overall
427,Psychostimulants,Male,with,synthetic,44.0,,2009,Overall
428,Benzodiazepines,Female,overall,overall,2281.0,2.2,2009,Overall
429,Benzodiazepines,Male,overall,overall,3286.0,1.5,2009,Overall
430,Benzodiazepines,Female,with,any,1853.0,1.8,2009,Overall
431,Benzodiazepines,Male,with,any,2780.0,0.30000000000000004,2009,Overall
432,Benzodiazepines,Female,with,synthetic,330.0,0.2,2009,Overall
433,Benzodiazepines,Male,with,synthetic,328.0,1.6,2009,Overall
434,Antidepressants,Female,overall,overall,2133.0,1.1,2009,Overall
435,Antidepressants,Male,overall,overall,1635.0,0.7,2009,Overall
436,Antidepressants,Female,with,any,1308.0,0.6,2009,Overall
437,Antidepressants,Male,with,any,984.0,0.5,2009,Overall
438,Antidepressants,Female,with,synthetic,337.0,0.1,2009,Overall
439,Antidepressants,Male,with,synthetic,168.0,1.0,2009,Overall
440,Prescription opioids,Female,overall,overall,5644.0,5.8,2010,Overall
441,Prescription opioids,Male,overall,overall,8939.0,0.3,2010,Overall
442,Prescription opioids,Female,with,synthetic,453.0,0.3,2010,Overall
443,Prescription opioids,Male,with,synthetic,486.0,4.4,2010,Overall
444,Synthetic opioids,Female,overall,overall,1440.0,1.0,2010,Overall
445,Synthetic opioids,Male,overall,overall,1567.0,1.0,2010,Overall
446,Heroin,Female,overall,overall,584.0,1.6,2010,Overall
447,Heroin,Male,overall,overall,2452.0,,2010,Overall
448,Heroin,Female,with,synthetic,8.0,,2010,Overall
449,Heroin,Male,with,synthetic,37.0,,2010,Overall
450,Stimulants,Female,overall,overall,1683.0,2.8,2010,Overall
451,Stimulants,Male,overall,overall,4231.0,0.9,2010,Overall
452,Stimulants,Female,with,any,803.0,1.2,2010,Overall
453,Stimulants,Male,with,any,1859.0,0.9999999999999999,2010,Overall
454,Stimulants,Female,with,synthetic,99.0,0.1,2010,Overall
455,Stimulants,Male,with,synthetic,136.0,1.7999999999999998,2010,Overall
456,Cocaine,Female,overall,overall,1132.0,2.0,2010,Overall
457,Cocaine,Male,overall,overall,3051.0,0.7,2010,Overall
458,Cocaine,Female,with,any,572.0,1.0,2010,Overall
459,Cocaine,Male,with,any,1514.0,0.6000000000000001,2010,Overall
460,Cocaine,Female,with,synthetic,63.0,0.1,2010,Overall
461,Cocaine,Male,with,synthetic,104.0,1.2,2010,Overall
462,Psychostimulants,Female,overall,overall,592.0,0.8,2010,Overall
463,Psychostimulants,Male,overall,overall,1262.0,0.2,2010,Overall
464,Psychostimulants,Female,with,any,255.0,0.2,2010,Overall
465,Psychostimulants,Male,with,any,385.0,0.39999999999999997,2010,Overall
466,Psychostimulants,Female,with,synthetic,37.0,,2010,Overall
467,Psychostimulants,Male,with,synthetic,36.0,,2010,Overall
468,Benzodiazepines,Female,overall,overall,2579.0,2.6,2010,Overall
469,Benzodiazepines,Male,overall,overall,3918.0,1.8,2010,Overall
470,Benzodiazepines,Female,with,any,2125.0,2.2,2010,Overall
471,Benzodiazepines,Male,with,any,3392.0,0.30000000000000004,2010,Overall
472,Benzodiazepines,Female,with,synthetic,355.0,0.3,2010,Overall
473,Benzodiazepines,Male,with,synthetic,391.0,1.9000000000000001,2010,Overall
474,Antidepressants,Female,overall,overall,2204.0,1.1,2010,Overall
475,Antidepressants,Male,overall,overall,1685.0,0.8,2010,Overall
476,Antidepressants,Female,with,any,1364.0,0.6,2010,Overall
477,Antidepressants,Male,with,any,1025.0,0.3999999999999999,2010,Overall
478,Antidepressants,Female,with,synthetic,358.0,0.1,2010,Overall
479,Antidepressants,Male,with,synthetic,210.0,1.0,2010,Overall
480,Prescription opioids,Female,overall,overall,6082.0,5.9,2011,Overall
481,Prescription opioids,Male,overall,overall,9058.0,0.3,2011,Overall
482,Prescription opioids,Female,with,synthetic,426.0,0.3,2011,Overall
483,Prescription opioids,Male,with,synthetic,463.0,4.6000000000000005,2011,Overall
484,Synthetic opioids,Female,overall,overall,1247.0,0.9,2011,Overall
485,Synthetic opioids,Male,overall,overall,1419.0,1.4,2011,Overall
486,Heroin,Female,overall,overall,878.0,2.3,2011,Overall
487,Heroin,Male,overall,overall,3519.0,,2011,Overall
488,Heroin,Female,with,synthetic,11.0,,2011,Overall
489,Heroin,Male,with,synthetic,33.0,,2011,Overall
490,Stimulants,Female,overall,overall,1955.0,3.1,2011,Overall
491,Stimulants,Male,overall,overall,4810.0,1.1,2011,Overall
492,Stimulants,Female,with,any,1024.0,1.5,2011,Overall
493,Stimulants,Male,with,any,2231.0,1.1,2011,Overall
494,Stimulants,Female,with,synthetic,122.0,0.1,2011,Overall
495,Stimulants,Male,with,synthetic,152.0,2.1,2011,Overall
496,Cocaine,Female,overall,overall,1314.0,2.2,2011,Overall
497,Cocaine,Male,overall,overall,3367.0,0.8,2011,Overall
498,Cocaine,Female,with,any,746.0,1.2,2011,Overall
499,Cocaine,Male,with,any,1759.0,0.7,2011,Overall
500,Cocaine,Female,with,synthetic,87.0,0.1,2011,Overall
501,Cocaine,Male,with,synthetic,102.0,1.4,2011,Overall
502,Psychostimulants,Female,overall,overall,693.0,1.0,2011,Overall
503,Psychostimulants,Male,overall,overall,1573.0,0.3,2011,Overall
504,Psychostimulants,Female,with,any,316.0,0.4,2011,Overall
505,Psychostimulants,Male,with,any,560.0,0.39999999999999997,2011,Overall
506,Psychostimulants,Female,with,synthetic,40.0,,2011,Overall
507,Psychostimulants,Male,with,synthetic,53.0,,2011,Overall
508,Benzodiazepines,Female,overall,overall,2902.0,2.6,2011,Overall
509,Benzodiazepines,Male,overall,overall,3970.0,1.9,2011,Overall
510,Benzodiazepines,Female,with,any,2408.0,2.2,2011,Overall
511,Benzodiazepines,Male,with,any,3418.0,0.30000000000000027,2011,Overall
512,Benzodiazepines,Female,with,synthetic,324.0,0.2,2011,Overall
513,Benzodiazepines,Male,with,synthetic,341.0,2.0,2011,Overall
514,Antidepressants,Female,overall,overall,2422.0,1.1,2011,Overall
515,Antidepressants,Male,overall,overall,1691.0,0.8,2011,Overall
516,Antidepressants,Female,with,any,1468.0,0.7,2011,Overall
517,Antidepressants,Male,with,any,1033.0,0.5,2011,Overall
518,Antidepressants,Female,with,synthetic,283.0,0.1,2011,Overall
519,Antidepressants,Male,with,synthetic,180.0,1.2,2011,Overall
520,Prescription opioids,Female,overall,overall,5995.0,5.3,2012,Overall
521,Prescription opioids,Male,overall,overall,8245.0,0.3,2012,Overall
522,Prescription opioids,Female,with,synthetic,445.0,0.3,2012,Overall
523,Prescription opioids,Male,with,synthetic,416.0,4.2,2012,Overall
524,Synthetic opioids,Female,overall,overall,1195.0,0.9,2012,Overall
525,Synthetic opioids,Male,overall,overall,1433.0,1.9,2012,Overall
526,Heroin,Female,overall,overall,1213.0,3.1,2012,Overall
527,Heroin,Male,overall,overall,4712.0,,2012,Overall
528,Heroin,Female,with,synthetic,19.0,,2012,Overall
529,Heroin,Male,with,synthetic,50.0,,2012,Overall
530,Stimulants,Female,overall,overall,2026.0,3.1,2012,Overall
531,Stimulants,Male,overall,overall,4853.0,1.1,2012,Overall
532,Stimulants,Female,with,any,1057.0,1.5,2012,Overall
533,Stimulants,Male,with,any,2283.0,1.1,2012,Overall
534,Stimulants,Female,with,synthetic,91.0,0.1,2012,Overall
535,Stimulants,Male,with,synthetic,170.0,2.1,2012,Overall
536,Cocaine,Female,overall,overall,1262.0,2.0,2012,Overall
537,Cocaine,Male,overall,overall,3142.0,0.8,2012,Overall
538,Cocaine,Female,with,any,720.0,1.1,2012,Overall
539,Cocaine,Male,with,any,1728.0,0.5999999999999999,2012,Overall
540,Cocaine,Female,with,synthetic,59.0,0.1,2012,Overall
541,Cocaine,Male,with,synthetic,123.0,1.2999999999999998,2012,Overall
542,Psychostimulants,Female,overall,overall,816.0,1.2,2012,Overall
543,Psychostimulants,Male,overall,overall,1819.0,0.3,2012,Overall
544,Psychostimulants,Female,with,any,378.0,0.4,2012,Overall
545,Psychostimulants,Male,with,any,615.0,0.5,2012,Overall
546,Psychostimulants,Female,with,synthetic,40.0,,2012,Overall
547,Psychostimulants,Male,with,synthetic,51.0,,2012,Overall
548,Benzodiazepines,Female,overall,overall,2789.0,2.4,2012,Overall
549,Benzodiazepines,Male,overall,overall,3735.0,1.8,2012,Overall
550,Benzodiazepines,Female,with,any,2283.0,2.1,2012,Overall
551,Benzodiazepines,Male,with,any,3217.0,0.30000000000000004,2012,Overall
552,Benzodiazepines,Female,with,synthetic,304.0,0.2,2012,Overall
553,Benzodiazepines,Male,with,synthetic,351.0,1.9000000000000001,2012,Overall
554,Antidepressants,Female,overall,overall,2469.0,1.1,2012,Overall
555,Antidepressants,Male,overall,overall,1790.0,0.8,2012,Overall
556,Antidepressants,Female,with,any,1470.0,0.7,2012,Overall
557,Antidepressants,Male,with,any,1066.0,0.5,2012,Overall
558,Antidepressants,Female,with,synthetic,273.0,0.1,2012,Overall
559,Antidepressants,Male,with,synthetic,191.0,1.2,2012,Overall
560,Prescription opioids,Female,overall,overall,6049.0,5.1,2013,Overall
561,Prescription opioids,Male,overall,overall,8096.0,0.3,2013,Overall
562,Prescription opioids,Female,with,synthetic,488.0,0.3,2013,Overall
563,Prescription opioids,Male,with,synthetic,527.0,4.1000000000000005,2013,Overall
564,Synthetic opioids,Female,overall,overall,1431.0,1.1,2013,Overall
565,Synthetic opioids,Male,overall,overall,1674.0,2.7,2013,Overall
566,Heroin,Female,overall,overall,1732.0,4.2,2013,Overall
567,Heroin,Male,overall,overall,6525.0,0.1,2013,Overall
568,Heroin,Female,with,synthetic,58.0,0.1,2013,Overall
569,Heroin,Male,with,synthetic,151.0,2.6,2013,Overall
570,Stimulants,Female,overall,overall,2412.0,3.7,2013,Overall
571,Stimulants,Male,overall,overall,5926.0,1.3,2013,Overall
572,Stimulants,Female,with,any,1240.0,1.8,2013,Overall
573,Stimulants,Male,with,any,2797.0,1.3,2013,Overall
574,Stimulants,Female,with,synthetic,149.0,0.2,2013,Overall
575,Stimulants,Male,with,synthetic,224.0,2.5,2013,Overall
576,Cocaine,Female,overall,overall,1376.0,2.3,2013,Overall
577,Cocaine,Male,overall,overall,3568.0,0.9,2013,Overall
578,Cocaine,Female,with,any,803.0,1.3,2013,Overall
579,Cocaine,Male,with,any,2028.0,0.7000000000000001,2013,Overall
580,Cocaine,Female,with,synthetic,87.0,0.1,2013,Overall
581,Cocaine,Male,with,synthetic,158.0,1.5,2013,Overall
582,Psychostimulants,Female,overall,overall,1106.0,1.6,2013,Overall
583,Psychostimulants,Male,overall,overall,2521.0,0.4,2013,Overall
584,Psychostimulants,Female,with,any,491.0,0.6,2013,Overall
585,Psychostimulants,Male,with,any,863.0,0.7999999999999999,2013,Overall
586,Psychostimulants,Female,with,synthetic,67.0,0.1,2013,Overall
587,Psychostimulants,Male,with,synthetic,75.0,1.0999999999999999,2013,Overall
588,Benzodiazepines,Female,overall,overall,3026.0,2.5,2013,Overall
589,Benzodiazepines,Male,overall,overall,3947.0,1.8,2013,Overall
590,Benzodiazepines,Female,with,any,2485.0,2.2,2013,Overall
591,Benzodiazepines,Male,with,any,3384.0,0.40000000000000013,2013,Overall
592,Benzodiazepines,Female,with,synthetic,388.0,0.3,2013,Overall
593,Benzodiazepines,Male,with,synthetic,416.0,2.0,2013,Overall
594,Antidepressants,Female,overall,overall,2673.0,1.1,2013,Overall
595,Antidepressants,Male,overall,overall,1785.0,0.8,2013,Overall
596,Antidepressants,Female,with,any,1664.0,0.7,2013,Overall
597,Antidepressants,Male,with,any,1099.0,0.5999999999999999,2013,Overall
598,Antidepressants,Female,with,synthetic,348.0,0.2,2013,Overall
599,Antidepressants,Male,with,synthetic,223.0,1.2,2013,Overall
600,Prescription opioids,Female,overall,overall,6506.0,5.2,2014,Overall
601,Prescription opioids,Male,overall,overall,8332.0,0.5,2014,Overall
602,Prescription opioids,Female,with,synthetic,661.0,0.5,2014,Overall
603,Prescription opioids,Male,with,synthetic,828.0,4.1,2014,Overall
604,Synthetic opioids,Female,overall,overall,2079.0,2.2,2014,Overall
605,Synthetic opioids,Male,overall,overall,3465.0,3.4,2014,Overall
606,Heroin,Female,overall,overall,2414.0,5.2,2014,Overall
607,Heroin,Male,overall,overall,8160.0,0.3,2014,Overall
608,Heroin,Female,with,synthetic,275.0,0.5,2014,Overall
609,Heroin,Male,with,synthetic,752.0,3.1,2014,Overall
610,Stimulants,Female,overall,overall,2720.0,4.2,2014,Overall
611,Stimulants,Male,overall,overall,6675.0,1.6,2014,Overall
612,Stimulants,Female,with,any,1519.0,2.3,2014,Overall
613,Stimulants,Male,with,any,3480.0,1.4,2014,Overall
614,Stimulants,Female,with,synthetic,283.0,0.4,2014,Overall
615,Stimulants,Male,with,synthetic,586.0,2.7,2014,Overall
616,Cocaine,Female,overall,overall,1535.0,2.4,2014,Overall
617,Cocaine,Male,overall,overall,3880.0,1.1,2014,Overall
618,Cocaine,Female,with,any,973.0,1.6,2014,Overall
619,Cocaine,Male,with,any,2441.0,0.5999999999999999,2014,Overall
620,Cocaine,Female,with,synthetic,187.0,0.3,2014,Overall
621,Cocaine,Male,with,synthetic,441.0,1.5,2014,Overall
622,Psychostimulants,Female,overall,overall,1278.0,1.9,2014,Overall
623,Psychostimulants,Male,overall,overall,3020.0,0.6,2014,Overall
624,Psychostimulants,Female,with,any,610.0,0.8,2014,Overall
625,Psychostimulants,Male,with,any,1196.0,0.7999999999999999,2014,Overall
626,Psychostimulants,Female,with,synthetic,106.0,0.1,2014,Overall
627,Psychostimulants,Male,with,synthetic,170.0,1.2999999999999998,2014,Overall
628,Benzodiazepines,Female,overall,overall,3487.0,2.8,2014,Overall
629,Benzodiazepines,Male,overall,overall,4458.0,2.1,2014,Overall
630,Benzodiazepines,Female,with,any,2876.0,2.5,2014,Overall
631,Benzodiazepines,Male,with,any,3857.0,0.3999999999999999,2014,Overall
632,Benzodiazepines,Female,with,synthetic,534.0,0.4,2014,Overall
633,Benzodiazepines,Male,with,synthetic,688.0,2.1,2014,Overall
634,Antidepressants,Female,overall,overall,2857.0,1.2,2014,Overall
635,Antidepressants,Male,overall,overall,1911.0,0.9,2014,Overall
636,Antidepressants,Female,with,any,1767.0,0.8,2014,Overall
637,Antidepressants,Male,with,any,1216.0,0.6,2014,Overall
638,Antidepressants,Female,with,synthetic,437.0,0.2,2014,Overall
639,Antidepressants,Male,with,synthetic,286.0,1.3,2014,Overall
640,Prescription opioids,Female,overall,overall,6664.0,5.4,2015,Overall
641,Prescription opioids,Male,overall,overall,8617.0,0.7,2015,Overall
642,Prescription opioids,Female,with,synthetic,898.0,0.8,2015,Overall
643,Prescription opioids,Male,with,synthetic,1365.0,4.0,2015,Overall
644,Synthetic opioids,Female,overall,overall,3020.0,4.2,2015,Overall
645,Synthetic opioids,Male,overall,overall,6560.0,4.1,2015,Overall
646,Heroin,Female,overall,overall,3108.0,6.3,2015,Overall
647,Heroin,Male,overall,overall,9881.0,0.9,2015,Overall
648,Heroin,Female,with,synthetic,670.0,1.3,2015,Overall
649,Heroin,Male,with,synthetic,2015.0,3.1999999999999997,2015,Overall
650,Stimulants,Female,overall,overall,3527.0,5.4,2015,Overall
651,Stimulants,Male,overall,overall,8595.0,2.1,2015,Overall
652,Stimulants,Female,with,any,2000.0,2.9,2015,Overall
653,Stimulants,Male,with,any,4594.0,1.6999999999999997,2015,Overall
654,Stimulants,Female,with,synthetic,577.0,0.9,2015,Overall
655,Stimulants,Male,with,synthetic,1392.0,3.1999999999999997,2015,Overall
656,Cocaine,Female,overall,overall,1899.0,3.1,2015,Overall
657,Cocaine,Male,overall,overall,4885.0,1.4,2015,Overall
658,Cocaine,Female,with,any,1261.0,2.1,2015,Overall
659,Cocaine,Male,with,any,3245.0,0.7000000000000002,2015,Overall
660,Cocaine,Female,with,synthetic,425.0,0.7,2015,Overall
661,Cocaine,Male,with,synthetic,1117.0,1.6,2015,Overall
662,Psychostimulants,Female,overall,overall,1745.0,2.5,2015,Overall
663,Psychostimulants,Male,overall,overall,3971.0,0.7,2015,Overall
664,Psychostimulants,Female,with,any,819.0,1.0,2015,Overall
665,Psychostimulants,Male,with,any,1526.0,1.1,2015,Overall
666,Psychostimulants,Female,with,synthetic,174.0,0.2,2015,Overall
667,Psychostimulants,Male,with,synthetic,320.0,1.6,2015,Overall
668,Benzodiazepines,Female,overall,overall,3779.0,3.2,2015,Overall
669,Benzodiazepines,Male,overall,overall,5012.0,2.3,2015,Overall
670,Benzodiazepines,Female,with,any,3137.0,2.7,2015,Overall
671,Benzodiazepines,Male,with,any,4348.0,0.40000000000000036,2015,Overall
672,Benzodiazepines,Female,with,synthetic,738.0,0.7,2015,Overall
673,Benzodiazepines,Male,with,synthetic,1063.0,2.1,2015,Overall
674,Antidepressants,Female,overall,overall,2909.0,1.2,2015,Overall
675,Antidepressants,Male,overall,overall,1985.0,0.9,2015,Overall
676,Antidepressants,Female,with,any,1758.0,0.8,2015,Overall
677,Antidepressants,Male,with,any,1304.0,0.6,2015,Overall
678,Antidepressants,Female,with,synthetic,463.0,0.2,2015,Overall
679,Antidepressants,Male,with,synthetic,345.0,1.2,2015,Overall
680,Prescription opioids,Female,overall,overall,7109.0,6.2,2016,Overall
681,Prescription opioids,Male,overall,overall,9978.0,1.3,2016,Overall
682,Prescription opioids,Female,with,synthetic,1394.0,1.7,2016,Overall
683,Prescription opioids,Male,with,synthetic,2661.0,3.9000000000000004,2016,Overall
684,Synthetic opioids,Female,overall,overall,5578.0,8.9,2016,Overall
685,Synthetic opioids,Male,overall,overall,13835.0,4.9,2016,Overall
686,Heroin,Female,overall,overall,3717.0,7.5,2016,Overall
687,Heroin,Male,overall,overall,11752.0,1.8,2016,Overall
688,Heroin,Female,with,synthetic,1430.0,2.8,2016,Overall
689,Heroin,Male,with,synthetic,4351.0,3.1000000000000005,2016,Overall
690,Stimulants,Female,overall,overall,4895.0,7.8,2016,Overall
691,Stimulants,Male,overall,overall,12363.0,3.3,2016,Overall
692,Stimulants,Female,with,any,2987.0,4.7,2016,Overall
693,Stimulants,Male,with,any,7235.0,2.1000000000000005,2016,Overall
694,Stimulants,Female,with,synthetic,1428.0,2.3,2016,Overall
695,Stimulants,Male,with,synthetic,3601.0,3.8000000000000003,2016,Overall
696,Cocaine,Female,overall,overall,2882.0,4.7,2016,Overall
697,Cocaine,Male,overall,overall,7493.0,2.3,2016,Overall
698,Cocaine,Female,with,any,2048.0,3.3,2016,Overall
699,Cocaine,Male,with,any,5215.0,0.9000000000000004,2016,Overall
700,Cocaine,Female,with,synthetic,1171.0,2.0,2016,Overall
701,Cocaine,Male,with,synthetic,3013.0,1.9000000000000001,2016,Overall
702,Psychostimulants,Female,overall,overall,2194.0,3.4,2016,Overall
703,Psychostimulants,Male,overall,overall,5348.0,1.1,2016,Overall
704,Psychostimulants,Female,with,any,1072.0,1.5,2016,Overall
705,Psychostimulants,Male,with,any,2344.0,1.2999999999999998,2016,Overall
706,Psychostimulants,Female,with,synthetic,322.0,0.5,2016,Overall
707,Psychostimulants,Male,with,synthetic,720.0,2.1,2016,Overall
708,Benzodiazepines,Female,overall,overall,4359.0,4.0,2016,Overall
709,Benzodiazepines,Male,overall,overall,6325.0,2.9,2016,Overall
710,Benzodiazepines,Female,with,any,3723.0,3.5,2016,Overall
711,Benzodiazepines,Male,with,any,5510.0,0.3999999999999999,2016,Overall
712,Benzodiazepines,Female,with,synthetic,1188.0,1.4,2016,Overall
713,Benzodiazepines,Male,with,synthetic,2120.0,2.1999999999999997,2016,Overall
714,Antidepressants,Female,overall,overall,2835.0,1.2,2016,Overall
715,Antidepressants,Male,overall,overall,1977.0,0.9,2016,Overall
716,Antidepressants,Female,with,any,1719.0,0.8,2016,Overall
717,Antidepressants,Male,with,any,1241.0,0.4999999999999999,2016,Overall
718,Antidepressants,Female,with,synthetic,529.0,0.3,2016,Overall
719,Antidepressants,Male,with,synthetic,473.0,1.0999999999999999,2016,Overall
720,Prescription opioids,Female,overall,overall,7156.0,6.1,2017,Overall
721,Prescription opioids,Male,overall,overall,9873.0,1.7,2017,Overall
722,Prescription opioids,Female,with,synthetic,1859.0,2.3,2017,Overall
723,Prescription opioids,Male,with,synthetic,3585.0,3.5,2017,Overall
724,Synthetic opioids,Female,overall,overall,7942.0,13.0,2017,Overall
725,Synthetic opioids,Male,overall,overall,20524.0,4.9,2017,Overall
726,Heroin,Female,overall,overall,3886.0,7.3,2017,Overall
727,Heroin,Male,overall,overall,11596.0,2.6,2017,Overall
728,Heroin,Female,with,synthetic,2035.0,3.8,2017,Overall
729,Heroin,Male,with,synthetic,6056.0,2.3000000000000003,2017,Overall
730,Stimulants,Female,overall,overall,6645.0,10.3,2017,Overall
731,Stimulants,Male,overall,overall,16494.0,4.6,2017,Overall
732,Stimulants,Female,with,any,4292.0,6.5,2017,Overall
733,Stimulants,Male,with,any,10163.0,2.6000000000000005,2017,Overall
734,Stimulants,Female,with,synthetic,2612.0,4.3,2017,Overall
735,Stimulants,Male,with,synthetic,6650.0,4.2,2017,Overall
736,Cocaine,Female,overall,overall,3921.0,6.2,2017,Overall
737,Cocaine,Male,overall,overall,10021.0,3.2,2017,Overall
738,Cocaine,Female,with,any,2898.0,4.5,2017,Overall
739,Cocaine,Male,with,any,7233.0,1.0999999999999996,2017,Overall
740,Cocaine,Female,with,synthetic,2023.0,3.3,2017,Overall
741,Cocaine,Male,with,synthetic,5218.0,2.0,2017,Overall
742,Psychostimulants,Female,overall,overall,3093.0,4.5,2017,Overall
743,Psychostimulants,Male,overall,overall,7240.0,1.7,2017,Overall
744,Psychostimulants,Female,with,any,1683.0,2.2,2017,Overall
745,Psychostimulants,Male,with,any,3520.0,1.5000000000000002,2017,Overall
746,Psychostimulants,Female,with,synthetic,766.0,1.2,2017,Overall
747,Psychostimulants,Male,with,synthetic,1780.0,2.4000000000000004,2017,Overall
748,Benzodiazepines,Female,overall,overall,4772.0,4.2,2017,Overall
749,Benzodiazepines,Male,overall,overall,6765.0,3.1,2017,Overall
750,Benzodiazepines,Female,with,any,4031.0,3.7,2017,Overall
751,Benzodiazepines,Male,with,any,5979.0,0.5,2017,Overall
752,Benzodiazepines,Female,with,synthetic,1696.0,2.0,2017,Overall
753,Benzodiazepines,Male,with,synthetic,3173.0,2.1,2017,Overall
754,Antidepressants,Female,overall,overall,3112.0,1.3,2017,Overall
755,Antidepressants,Male,overall,overall,2157.0,1.0,2017,Overall
756,Antidepressants,Female,with,any,1871.0,0.9,2017,Overall
757,Antidepressants,Male,with,any,1430.0,0.6000000000000001,2017,Overall
758,Antidepressants,Female,with,synthetic,692.0,0.5,2017,Overall
759,Antidepressants,Male,with,synthetic,722.0,1.2000000000000002,2017,Overall
760,Prescription opioids,Female,overall,overall,6252.0,5.3,2018,Overall
761,Prescription opioids,Male,overall,overall,8723.0,1.7,2018,Overall
762,Prescription opioids,Female,with,synthetic,1872.0,2.2,2018,Overall
763,Prescription opioids,Male,with,synthetic,3545.0,2.8,2018,Overall
764,Synthetic opioids,Female,overall,overall,8807.0,14.2,2018,Overall
765,Synthetic opioids,Male,overall,overall,22528.0,4.7,2018,Overall
766,Heroin,Female,overall,overall,3705.0,7.1,2018,Overall
767,Heroin,Male,overall,overall,11291.0,2.9,2018,Overall
768,Heroin,Female,with,synthetic,2267.0,4.3,2018,Overall
769,Heroin,Male,with,synthetic,6801.0,1.8000000000000003,2018,Overall
770,Stimulants,Female,overall,overall,7529.0,11.4,2018,Overall
771,Stimulants,Male,overall,overall,18348.0,5.1,2018,Overall
772,Stimulants,Female,with,any,4870.0,7.2,2018,Overall
773,Stimulants,Male,with,any,11295.0,2.9000000000000004,2018,Overall
774,Stimulants,Female,with,synthetic,3405.0,5.2,2018,Overall
775,Stimulants,Male,with,synthetic,8111.0,4.3,2018,Overall
776,Cocaine,Female,overall,overall,4228.0,6.4,2018,Overall
777,Cocaine,Male,overall,overall,10438.0,3.4,2018,Overall
778,Cocaine,Female,with,any,3189.0,4.8,2018,Overall
779,Cocaine,Male,with,any,7698.0,1.1,2018,Overall
780,Cocaine,Female,with,synthetic,2496.0,3.9,2018,Overall
781,Cocaine,Male,with,synthetic,6163.0,1.7000000000000002,2018,Overall
782,Psychostimulants,Female,overall,overall,3775.0,5.5,2018,Overall
783,Psychostimulants,Male,overall,overall,8901.0,2.1,2018,Overall
784,Psychostimulants,Female,with,any,2058.0,2.8,2018,Overall
785,Psychostimulants,Male,with,any,4347.0,1.7999999999999998,2018,Overall
786,Psychostimulants,Female,with,synthetic,1163.0,1.6,2018,Overall
787,Psychostimulants,Male,with,synthetic,2450.0,2.7,2018,Overall
788,Benzodiazepines,Female,overall,overall,4481.0,3.9,2018,Overall
789,Benzodiazepines,Male,overall,overall,6243.0,2.8,2018,Overall
790,Benzodiazepines,Female,with,any,3699.0,3.4,2018,Overall
791,Benzodiazepines,Male,with,any,5441.0,0.5,2018,Overall
792,Benzodiazepines,Female,with,synthetic,1808.0,2.1,2018,Overall
793,Benzodiazepines,Male,with,synthetic,3258.0,1.6999999999999997,2018,Overall
794,Antidepressants,Female,overall,overall,2993.0,1.2,2018,Overall
795,Antidepressants,Male,overall,overall,2071.0,0.9,2018,Overall
796,Antidepressants,Female,with,any,1715.0,0.8,2018,Overall
797,Antidepressants,Male,with,any,1304.0,0.6,2018,Overall
798,Antidepressants,Female,with,synthetic,704.0,0.4,2018,Overall
799,Antidepressants,Male,with,synthetic,719.0,1.1,2018,Overall
800,Prescription opioids,Female,overall,overall,5755.0,5.1,2019,Overall
801,Prescription opioids,Male,overall,overall,8384.0,1.8,2019,Overall
802,Prescription opioids,Female,with,synthetic,1949.0,2.4,2019,Overall
803,Prescription opioids,Male,with,synthetic,3927.0,2.4000000000000004,2019,Overall
804,Synthetic opioids,Female,overall,overall,10076.0,16.6,2019,Overall
805,Synthetic opioids,Male,overall,overall,26283.0,4.4,2019,Overall
806,Heroin,Female,overall,overall,3520.0,6.6,2019,Overall
807,Heroin,Male,overall,overall,10499.0,2.7,2019,Overall
808,Heroin,Female,with,synthetic,2256.0,4.1,2019,Overall
809,Heroin,Male,with,synthetic,6490.0,1.7000000000000002,2019,Overall
810,Stimulants,Female,overall,overall,8532.0,13.4,2019,Overall
811,Stimulants,Male,overall,overall,21699.0,6.1,2019,Overall
812,Stimulants,Female,with,any,5561.0,8.6,2019,Overall
813,Stimulants,Male,with,any,13631.0,3.200000000000001,2019,Overall
814,Stimulants,Female,with,synthetic,4123.0,6.7,2019,Overall
815,Stimulants,Male,with,synthetic,10504.0,4.6000000000000005,2019,Overall
816,Cocaine,Female,overall,overall,4336.0,7.1,2019,Overall
817,Cocaine,Male,overall,overall,11547.0,3.8,2019,Overall
818,Cocaine,Female,with,any,3308.0,5.5,2019,Overall
819,Cocaine,Male,with,any,8690.0,1.1000000000000005,2019,Overall
820,Cocaine,Female,with,synthetic,2738.0,4.7,2019,Overall
821,Cocaine,Male,with,synthetic,7401.0,1.7000000000000002,2019,Overall
822,Psychostimulants,Female,overall,overall,4733.0,7.1,2019,Overall
823,Psychostimulants,Male,overall,overall,11434.0,2.8,2019,Overall
824,Psychostimulants,Female,with,any,2696.0,3.8,2019,Overall
